第0世代
f1,f2
161.952,1.80723,0
149.807,16.597,0
151.878,9.97862,0
152.868,10.241,1
150.012,81.2186,1
150.467,18.3929,1
150.943,17.5915,1
152.538,12.523,1
157.005,10.741,2
151.041,31.1377,2
153.152,10.8976,2
152.388,25.0255,2
151.975,28.8835,2
161.23,11.4458,3
151.88,86.8856,3
152.369,31.3395,3
152.123,75.2521,3
157.1,12.6386,3
153.861,28.0393,3
155.557,13.2098,3
167.805,12.7978,4
152.865,64.162,4
152.927,39.6681,4
163.692,17.4955,4
156.543,17.8506,4
163.943,13.1327,4
152.97,32.3952,4
154.843,28.8518,4
156.027,28.4788,4
156.327,21.6593,4
156.456,20.8562,4
167.56,15.8124,5
153.084,76.6595,5
154.931,42.456,5
162.565,18.2651,5
166.593,17.182,5
158,21.3447,5
156.401,27.1091,5
155.536,37.3506,5
160.194,18.6973,5
156.062,30.2805,5
159.262,19.5494,5
176.805,16.7667,6
155.318,61.8629,6
156.716,47.7143,6
168.135,16.8664,6
163.15,19.4978,6
157.039,33.2492,6
159.67,20.7308,6
157.469,27.8446,6
158.66,24.8667,6
159.402,23.584,6
168.096,19.9202,7
155.901,65.0536,7
157.568,46.2854,7
158.776,26.0327,7
156.647,63.339,7
162.805,20.9386,7
160.802,23.6036,7
165.72,20.6288,7
167.48,19.9523,7
166.15,20.2165,7
170.098,21.603,8
156.721,67.7519,8
158.731,56.3136,8
159.3,30.5539,8
163.527,22.9048,8
167.475,21.879,8
160.828,24.4988,8
158.138,61.8149,8
157.729,66.6316,8
160.092,27.1835,8
159.733,28.2088,8
167.635,21.8818,9
158.278,91.2369,9
158.435,70.1933,9
159.441,33.7649,9
164.165,26.7554,9
161.053,27.9747,9
166.278,23.5646,9
160.487,31.4003,9
167.441,23.0744,9
171.848,23.9598,10
159.514,75.5691,10
159.653,35.2149,10
167.189,26.9242,10
169.599,24.2116,10
164.823,27.2868,10
162.582,28.8749,10
161.761,31.6303,10
160.167,34.1689,10
162.47,31.4834,10
160.057,34.6514,10
170.028,24.9973,11
159.68,68.9541,11
159.844,36.1985,11
163.23,30.6938,11
162.202,35.6879,11
167.021,29.2689,11
167.026,28.8993,11
173.967,28.1656,12
159.931,44.1653,12
160.041,38.0147,12
164.819,33.0405,12
168.523,32.0631,12
171.982,29.1563,12
170.555,29.9231,12
165.307,32.6884,12
169.737,31.9942,12
173.431,30.3401,13
160.158,63.2885,13
160.648,59.1838,13
164.284,38.9068,13
161.142,46.5298,13
164.928,36.6846,13
171.722,32.5603,13
161.469,44.534,13
168.284,35.5134,13
168.346,33.5921,13
172.805,31.5839,13
161.398,44.7686,13
174.158,30.9641,14
161.143,58.5336,14
169.182,33.9706,14
161.631,51.0676,14
164.387,41.9954,14
164.056,46.8327,14
166.06,38.6394,14
162.376,48.7044,14
167.289,36.8327,14
167.198,37.1283,14
177.788,31.8379,15
161.723,73.4143,15
173.385,34.7805,15
162.918,54.3391,15
171.642,36.9077,15
164.407,46.2179,15
168.218,37.124,15
167.212,38.2575,15
162.328,63.2281,15
161.837,67.4546,15
162.452,57.0094,15
165.583,42.5069,15
164.422,44.2686,15
165.492,43.7653,15
177.3,37.1642,16
162.597,57.2183,16
175.143,37.8211,16
165.943,43.4434,16
163.838,56.1527,16
164.539,47.3592,16
165.371,45.9084,16
176.449,41.3102,17
162.969,66.5126,17
164.553,59.1412,17
165.623,48.4,17
170.596,43.9749,17
176.426,43.5301,17
163.186,66.4956,17
169.682,44.7504,17
167.294,45.7792,17
166.593,45.7904,17
174.594,44.0529,18
163.1,102.599,18
163.709,71.6676,18
171.217,45.2455,18
167.961,45.9065,18
166.129,63.972,18
167.588,53.1027,18
166.574,61.5528,18
171.601,45.4016,19
164.917,73.9015,19
166.985,64.2716,19
168.223,56.3975,19
168.807,46.0857,19
167.745,57.9441,19
169.387,45.9431,19
