第0世代
f1,f2
156.76,40.3714,6
160.31,19.9739,6
157.768,27.557,6
160.467,19.1416,6
157.835,26.7079,6
173.472,17.9195,7
154.902,81.0219,7
164.805,19.4465,7
156.491,60.6578,7
156.908,40.9823,7
155.586,73.3842,7
157.658,29.9602,7
159.22,22.5325,7
162.346,20.5241,7
157.876,27.4191,7
160.867,20.7489,7
173.472,19.527,8
154.917,97.4075,8
157.14,71.6131,8
168.261,19.836,8
157.226,44.2196,8
156.841,81.135,8
165.053,20.0741,8
161.099,21.2681,8
158.415,28.8543,8
157.845,34.3105,8
160.378,26.6248,8
157.683,38.5488,8
160.82,26.2323,8
165.47,20.4982,9
157.321,49.3595,9
158.078,42.3728,9
160.89,26.3212,9
158.679,29.8243,9
163.73,26.1613,9
164.602,24.2455,9
159.163,29.1974,9
166.56,21.0321,10
157.555,71.2243,10
163.607,26.5993,10
157.643,53.6263,10
161.468,26.9111,10
165.635,21.4391,10
158.767,37.8763,10
158.495,49.3153,10
160.167,30.0638,10
159.557,34.5015,10
158.447,52.5882,10
159.936,31.9348,10
175.465,21.3523,11
158.11,61.0227,11
166.403,22.5416,11
160.444,39.0337,11
160.113,48.1122,11
158.614,51.227,11
158.515,57.7425,11
164.218,26.7826,11
161.864,27.3958,11
161.619,31.9585,11
160.093,50.0643,11
165.635,24.44,11
163.026,27.129,11
160.508,35.7248,11
161.14,32.9889,11
160.555,34.2838,11
165.72,24.2161,11
168.849,22.8037,12
158.193,71.4554,12
160.417,51.2992,12
158.631,58.6485,12
166.395,26.7888,12
163.73,27.9768,12
160.652,38.0592,12
168.393,25.5141,12
158.447,68.6429,12
162.243,32.8452,12
163.495,31.0202,12
161.14,33.4805,12
160.927,34.7276,12
160.674,36.0233,12
158.365,70.6906,12
175.511,24.244,13
158.615,72.3072,13
168.933,26.3298,13
161.163,35.4878,13
160.92,46.7973,13
160.685,58.57,13
163.862,31.0902,13
161.147,42.7704,13
166.107,29.3181,13
167.103,28.0585,13
158.896,63.7422,13
158.731,67.9331,13
164.033,30.9636,13
160.231,61.5288,13
160.433,60.2982,13
173.143,27.8174,14
158.843,73.9111,14
160.633,65.6389,14
168.522,29.3246,14
170.851,28.0004,14
161.173,53.7851,14
161.302,39.4032,14
161.223,51.8172,14
159.064,70.9331,14
165.25,34.745,14
166.56,31.9996,14
162.909,36.0409,14
162.277,37.7083,14
第2世代
f1,f2
163.49,3.02108,0
148.415,35.6258,0
160.122,3.31125,0
148.845,20.1203,0
155.812,10.6328,0
150.573,16.5601,0
152.577,14.4427,0
154.425,12.5364,0
151.773,15.3979,0
154.857,11.9964,0
