第0世代
f1,f2
141.512,21.4
141.635,17.2033
141.48,33.3349
136.503,36.0202
139.971,33.7477
138.042,35.8771
145.379,0
138.505,46.8345
142.78,26.0368
144.009,7.2973
143.401,9.70149
146.96,0
143.413,17.1259
146.902,2.02158
144.513,9.85075
145.312,8.31325
145.853,3.91168
146.449,3.69565
148.688,0
143.554,30.4234
145.655,13.7653
146.288,6.14035
146.115,13.1289
149.616,0
143.88,31.9094
第8世代
f1,f2
110.151,0
127.154,0
121.363,13.7799
125.294,13.2463
131.452,0
126.345,43.3624
127.259,16.1407
127.991,3.39399
138.818,0
128.465,20.2328
132.747,7.63636
133.854,0.757576
139.655,0
131.483,32.2634
137.904,8.30601
132.727,27.1067
137.714,13.1605
137.405,14
143.27,0
134.408,40.4051
137.772,23.4294
138.652,8.33333
135.233,28.0364
142.682,5.62245
141.87,6.64558
143.31,0
135.682,38.6855
139.911,9.46667
138.042,35.8771
136.503,36.0202
144.986,0
138.505,46.8345
144.009,7.2973
141.512,21.4
141.48,33.3349
139.971,33.7477
143.401,9.70149
141.635,17.2033
145.379,0
142.78,26.0368
145.312,8.31325
143.413,17.1259
142.898,20.2
141.79,31.4501
144.513,9.85075
144.048,11.6987
146.96,0
143.554,30.4234
145.655,13.7653
146.902,2.02158
第9世代
f1,f2
110.151,0
127.043,0
115.363,27.6178
120.038,13
127.154,0
121.363,13.7799
125.294,13.2463
131.452,0
126.345,43.3624
127.259,16.1407
127.991,3.39399
138.818,0
128.465,20.2328
132.747,7.63636
133.854,0.757576
139.655,0
128.673,21.2969
137.904,8.30601
134.952,14.4047
137.714,13.1605
137.405,14
143.27,0
131.483,32.2634
137.772,23.4294
138.652,8.33333
140.393,3.11111
142.324,1.10526
132.727,27.1067
143.31,0
134.408,40.4051
135.233,28.0364
139.911,9.46667
141.87,6.64558
142.682,5.62245
144.986,0
135.682,38.6855
141.635,17.2033
143.401,9.70149
141.512,21.4
144.009,7.2973
141.48,33.3349
138.042,35.8771
139.971,33.7477
136.503,36.0202
145.379,0
138.505,46.8345
145.312,8.31325
141.79,31.4501
142.083,19.1901
144.048,11.6987
