第294世代
,f1,f2,front
152.935,0.60241,81,0
145.633,12.0482,100,0
152.057,0.60241,81,0
146.705,7.83133,93,0
146.622,9.63855,96,0
150.138,1.20482,82,0
149.11,5.42169,89,0
149.652,2.40964,84,0
149.367,4.91292,85,0
148.148,6.0241,90,0
147.637,7.22892,92,0
145.71,10.241,97,0
148.147,6.0241,90,0
147.638,7.22891,92,0
150.137,1.41792,82,0
149.368,3.52543,85,0
145.7,10.7543,97,0
149.372,3.01205,85,0
145.667,12.0482,100,0
145.7,10.241,97,0
145.633,12.0482,100,1
153.057,0.60241,81,1
148.152,6.0241,90,1
150.143,1.20482,82,1
152.057,0.60241,81,1
149.367,4.99997,85,1
146.71,7.83133,93,1
149.11,5.42169,89,1
147.637,7.22892,92,1
145.715,10.241,97,1
146.622,9.63855,96,1
147.643,7.22891,92,1
149.368,3.62349,85,1
146.705,7.91657,93,1
146.623,9.63855,96,1
145.7,10.8524,97,1
150.137,1.98765,82,1
149.658,2.40964,84,1
152.058,0.60241,81,1
145.668,12.0482,100,1
149.652,2.96021,84,1
149.11,5.42169,89,1
150.138,1.41792,82,1
149.372,3.01205,85,1
145.7,10.3262,97,1
149.373,3.01205,85,1
145.705,10.241,97,1
145.637,12.0482,100,1
147.638,7.22892,92,1
145.633,12.5988,100,2
153.058,0.60241,81,2
152.057,1.05321,81,2
150.143,1.20482,82,2
149.368,4.64721,85,2
148.153,6.0241,90,2
149.11,5.42169,89,2
147.637,7.40792,92,2
148.152,6.0241,90,2
147.643,7.22891,92,2
145.96,10.241,97,2
146.705,8.34471,93,2
146.71,7.83133,93,2
150.138,1.74184,82,2
145.7,11.4639,97,2
146.622,9.74085,96,2
149.372,3.01205,85,2
152.058,0.60241,81,2
149.663,2.40964,84,2
146.628,9.63855,96,2
149.11,5.42169,89,2
145.7,10.4029,97,2
149.658,2.54996,84,2
149.378,3.01205,85,2
145.673,12.0482,100,2
145.637,12.0482,100,2
150.143,1.29007,82,2
146.71,7.83133,93,2
