第0世代
,f1,f2,front
100.62,0.602679,81,0
93.92,60.4482,98,0
94.85,11.4509,99,0
96.37,5.42411,89,0
99.2867,4.82143,88,0
94.9167,9.04018,95,0
100.41,4.82143,88,0
100.553,3.61607,86,0
108.997,0.602679,81,1
94.9833,16.7287,96,1
97.2767,5.42411,89,1
102.09,3.30928,84,1
95.7267,11.4509,99,1
106.74,2.41071,84,1
95.61,14.7276,96,1
114.353,1.80804,83,2
95.1433,33.3699,98,2
95.97,12.0312,99,2
112.007,2.41071,84,2
103.33,4.82143,88,2
106.917,2.74449,83,2
106.633,3.61607,86,2
97.9,9.04018,95,2
101.15,6.62946,91,2
100.21,7.03825,85,2
98.56,7.83482,93,2
98.2867,8.02167,87,2
113.98,2.41071,84,3
96.5433,13.3988,88,3
99.2333,10.2455,97,3
106.967,4.29464,82,3
104.01,5.73928,83,3
100.543,7.83176,87,3
111.283,3.74449,80,3
110.673,4.21875,87,3
102.503,7.16929,85,3
102.05,7.397,91,3
119.537,3.01339,85,4
96.57,15.416,98,4
109.607,4.82143,88,4
116.79,3.64262,83,4
99.05,13.8483,89,4
103.113,9.64286,96,4
99.5167,12.5835,90,4
104.967,7.32736,86,4
107.327,6.02679,90,4
100.09,10.4816,95,4
105.823,6.02679,90,4
99.5833,10.5789,96,4
104.053,8.33923,85,4
103.93,8.65545,87,4
112.323,4.93432,83,5
97.67,19.7926,90,5
98.8233,16.7981,97,5
107.15,6.62946,91,5
99.7133,12.4593,88,5
110.367,5.50092,88,5
99.25,14.7493,100,5
102.21,11.2226,98,5
104.01,9.1938,93,5
103.313,10.87,95,5
106.23,7.83482,93,5
105.353,8.4375,94,5
111.74,4.97505,86,5
114.767,5.40595,84,6
97.9433,52.2842,99,6
98.44,30.0395,92,6
112.65,5.9544,84,6
99.6367,21.3285,98,6
100.447,12.6775,87,6
108.447,7.83482,93,6
99.9533,18.4885,98,6
102.837,11.8893,96,6
107.143,9.04018,95,6
104.57,9.47188,85,6
105.83,9.23259,86,6
103.54,11.213,90,6
108.207,7.98844,91,6
105.09,9.26595,85,6
103.423,11.5793,93,6
118.537,6.62946,91,7
98.1,87.1485,99,7
111.043,8.06525,90,7
98.71,34.8684,95,7
98.21,60.2262,96,7
98.6733,58.4988,92,7
108.913,9.04018,95,7
99.8167,28.706,99,7
105.437,9.29658,83,7
100.753,20.2492,97,7
101.753,16.0826,96,7
102.103,13.3374,83,7
103.847,12.0536,100,7
102.957,12.2226,95,7
101.113,19.8211,97,7
104.647,10.3177,88,7
104.993,9.58695,95,7
125.603,7.11892,83,8
98.5033,86.1667,99,8
111.073,8.41543,86,8
99.61,44.2648,91,8
99.47,79.1529,98,8
100.543,29.584,98,8
107.403,10.0406,92,8
100.997,21.0823,90,8
101.823,17.5249,92,8
103.463,15.0826,99,8
105.41,11.9405,99,8
103.997,14.7471,96,8
105.54,10.2455,97,8
125.857,7.5247,83,9
99.84,69.3172,100,9
113.42,8.76393,83,9
100.4,49.6682,93,9
99.9433,64.5296,98,9
100.593,33.692,99,9
101.827,22.9561,96,9
100.897,31.3066,87,9
106.677,10.6249,85,9
109.193,10.5993,81,9
111.153,9.04018,95,9
105.713,15.4326,87,9
104.717,17.2137,93,9
103.207,18.8623,83,9
101.863,19.6061,97,9
117.183,9.16146,82,10
100.717,67.1417,87,10
101.773,41.3842,99,10
113.233,9.25822,84,10
107.593,11.1815,97,10
102.163,21.6526,97,10
101.58,56.9707,91,10
104.71,19.2338,93,10
101.49,57.1915,89,10
102.727,19.9426,97,10
106.183,17.7656,80,10
107.01,12.3626,82,10
106.683,16.5349,87,10
115.34,9.95009,92,11
101.117,67.3263,95,11
102.063,63.798,83,11
102.2,26.9211,97,11
113.617,10.8482,98,11
103.5,20.9544,97,11
109.163,11.4379,85,11
107.477,12.4596,100,11
106.267,20.5236,90,11
106.163,20.7786,93,11
102.407,26.3941,90,11
108.81,11.4509,99,11
102.013,65.3151,89,11
116.993,9.97792,92,12
102.277,61.9766,93,12
103.24,48.2774,84,12
107.49,12.5274,97,12
110.753,12.4367,81,12
103.723,29.114,94,12
115.21,12.3387,83,12
104.533,21.3726,99,12
102.443,61.5209,99,12
103.737,25.1178,95,12
103.903,21.4347,81,12
118.16,10.2206,90,13
102.863,68.7179,100,13
110.257,12.6419,82,13
103.45,50.7521,87,13
104.167,27.3767,98,13
103.253,56.1475,87,13
105.083,22.3427,82,13
107.573,17.8814,94,13
108.1,13.5723,80,13
104.603,25.2525,86,13
107.82,16.0051,93,13
113.537,13.3344,97,14
103.357,56.9866,94,14
109.367,14.182,88,14
105.607,29.0185,84,14
104.387,48.226,89,14
112.617,13.4573,87,14
105.597,43.1268,87,14
107.393,23.5715,80,14
106.233,26.1172,96,14
108.117,20.1424,85,14
108.127,14.667,80,14
105.393,46.3488,92,14
116.74,13.7729,94,15
103.39,62.6187,85,15
105.637,54.6237,96,15
105.95,32.6421,83,15
110.84,15.2126,83,15
116.11,14.99,94,15
108.157,15.703,92,15
107.27,29.9708,90,15
107.837,25.548,88,15
104.363,58.1516,97,15
108.143,20.2021,91,15
103.84,59.3354,85,15
103.433,61.3898,81,15
116.95,15.1174,93,16
103.703,66.2629,96,16
106.12,49.9593,98,16
109.647,16.1508,96,16
115.463,15.9541,86,16
106.57,33.5912,96,16
108.273,17.6701,100,16
105.993,61.2117,93,16
106.207,34.3092,97,16
104.517,63.4119,99,16
108.75,17.5512,87,16
116.113,15.7848,94,16
104.457,63.6078,93,16
119.06,15.4805,90,17
103.89,77.5492,83,17
106.73,50.2182,83,17
106.57,66.7333,80,17
112.31,16.7006,82,17
105.58,68.0043,90,17
108.333,26.0021,88,17
109.98,17.2804,94,17
106.887,41.7768,90,17
104.143,77.4798,80,17
108.39,18.4691,87,17
115.037,16.416,95,17
108.127,37.6628,91,17
117.237,15.7222,80,17
115.993,16.3262,85,17
108.013,38.9534,89,17
120.71,16.137,82,18
104.203,78.3017,98,18
112.847,18.3448,92,18
118.103,18.1793,96,18
106.98,61.5717,84,18
107.22,43.6826,90,18
106.94,74.0314,97,18
109.34,19.0456,98,18
108.62,27.8179,93,18
108.343,40.9688,87,18
105.16,77.6388,96,18
109.103,25.4485,97,18
108.097,42.4439,86,18
123.88,16.6326,85,19
107.443,60.6769,87,19
121.11,17.3298,80,19
113.833,18.6365,93,19
108.74,36.0819,99,19
107.857,46.6017,85,19
109.977,27.0517,85,19
107.677,48.876,85,19
107.587,59.5314,83,19
109.44,33.0412,81,19
111.803,19.2443,85,19
110.7,21.9608,90,19
111.18,21.0333,91,19
121.937,17.4202,100,20
108.407,77.5276,89,20
116.18,19.0348,80,20
108.583,55.9782,96,20
108.96,43.9865,93,20
113.513,19.5493,86,20
110.183,27.2284,98,20
109.793,35.5854,87,20
112.283,20.764,82,20
109.003,37.0601,90,20
110.97,22.5426,92,20
110.963,23.2879,89,20
126.603,18.6616,80,21
108.937,65.687,94,21
117.023,19.6594,86,21
124.69,18.6787,80,21
109.003,47.1536,98,21
111.007,24.9893,100,21
113.277,23.0789,88,21
109.583,38.7268,90,21
109.49,41.2116,93,21
110.397,32.726,93,21
110.557,31.3509,99,21
116.03,22.6566,98,21
115.21,22.8838,82,21
129.783,18.8738,83,22
109.037,59.9247,80,22
126.66,20.0175,87,22
111.153,25.9824,95,22
119.803,20.2852,80,22
110.913,38.0685,83,22
109.937,39.1167,80,22
109.497,48.5867,95,22
109.177,57.1258,86,22
118.373,22.0045,88,22
109.19,49.9837,81,22
114.153,25.0231,99,22
116.47,23.036,89,22
116.057,23.9197,84,22
114.393,24.8606,99,22
115.32,24.3487,91,22
115.153,24.4882,83,22
116.327,23.3954,94,22
109.43,69.1149,98,23
122.073,20.5954,94,23
111.383,31.7205,94,23
115.847,25.4666,87,23
109.437,53.7831,83,23
119.84,23.3654,88,23
113.513,27.1382,96,23
110.207,39.5182,93,23
109.583,49.42,100,23
109.967,41.5807,85,23
114.847,26.1803,94,23
113.78,26.5054,82,23
120.833,22.5433,84,23
121.443,21.4574,86,23
120.32,22.8099,93,23
121.9,21.1847,93,23
110.09,41.1242,82,23
119.857,23.2823,94,23
128.153,20.6345,94,24
109.627,56.3251,94,24
121.71,21.986,80,24
111.98,32.9254,92,24
116.23,25.473,83,24
120.85,24.7399,96,24
110.127,50.8579,92,24
111.237,41.0353,88,24
110.3,42.5693,84,24
114.673,31.4424,96,24
