第0世代
f1,f2
167.438,2.79325,0
147.728,22.8678,0
150.275,19.7463,0
151.6,7.02994,0
160.948,4.43266,0
155.195,6.0512,0
161.682,5.58925,1
149.005,25.3685,1
152.893,13.369,1
158.15,6.79182,1
162.942,10.079,2
150.543,72.6609,2
152.324,36.6072,2
155.778,13.6067,2
154.453,30.5074,2
154.805,18.9533,2
154.519,29.3089,2
155.462,15.7077,2
155.048,17.112,2
165.395,13.364,3
152.913,66.8888,3
156.665,13.8376,3
153.594,56.9193,3
154.462,42.8688,3
155.35,26.313,3
155.069,38.3262,3
155.505,19.1571,3
159.575,14.1538,4
154.703,56.4016,4
155.512,37.6691,4
156.463,26.3436,4
157.867,24.8169,4
157.135,24.9592,4
158.635,15.218,4
158.5,21.1973,4
158.602,19.2648,4
160.268,14.273,5
155.29,61.5057,5
159.155,25.1275,5
156.724,27.5627,5
156.288,54.7103,5
156.554,41.0848,5
156.345,43.5893,5
162.048,14.5274,6
155.378,64.8704,6
156.601,47.1169,6
157.65,28.0592,6
159.718,25.2631,6
157.467,41.2144,6
160.862,23.1958,6
161.857,21.8583,6
161.58,22.1302,6
161.58,21.9931,6
167.98,14.6991,7
155.53,72.2265,7
156.677,50.3201,7
158.011,36.8702,7
164.191,15.3473,7
163.41,19.1765,7
167.351,15.1943,7
162.441,26.1558,7
159.828,30.3892,7
161.359,28.6632,7
158.587,32.5938,7
158.807,32.0873,7
161.912,28.0945,7
168.509,15.5932,8
156.532,73.3173,8
156.689,50.3686,8
158.743,38.9066,8
164.805,15.955,8
160.673,32.5949,8
163.82,27.0322,8
161.152,31.1748,8
162.652,28.5408,8
164.428,19.6069,8
163.109,27.6211,8
164.725,19.0543,8
172.098,16.3793,9
157.323,89.4958,9
164.852,18.2977,9
157.607,55.235,9
159.02,41.0039,9
163.15,29.0437,9
160.902,40.0288,9
162.462,31.6239,9
161.162,32.6909,9
161.208,31.7861,9
166.303,21.8886,10
158.176,61.9725,10
162.252,41.4838,10
160.845,44.4399,10
163.39,29.8312,10
163.288,36.3045,10
160.602,52.4311,10
164.856,26.1651,10
159.575,55.3929,10
158.6,57.3806,10
165.106,23.4422,10
168.812,25.7453,11
158.979,81.9716,11
163.542,32.1265,11
159.467,69.3917,11
161.204,44.4605,11
161.017,55.3302,11
165.888,26.395,11
165.308,27.4784,11
163.142,42.3496,11
160.505,59.4306,11
160.103,67.3044,11
162.351,42.6026,11
165.723,26.5788,11
167.928,26.7591,12
158.989,93.7426,12
159.777,79.9535,12
160.062,70.1919,12
163.742,35.9424,12
161.149,59.3419,12
162.015,47.463,12
166.312,29.4196,12
165.521,29.6845,12
164.453,35.4488,12
161.306,50.1209,12
161.559,48.8793,12
161.958,48.3342,12
173.938,26.8019,13
161.896,53.7202,13
168.194,28.8427,13
167.021,30.2783,13
163.748,42.5222,13
164.41,36.245,13
163.562,49.2944,13
162.487,51.2041,13
164.15,36.3643,13
167.975,28.8738,13
169.691,29.213,14
162.17,59.6729,14
163.018,51.5035,14
164.686,41.0178,14
166.791,36.8048,14
164.723,37.4308,14
168.067,34.9361,14
168.978,33.4903,14
169.485,32.7516,14
171.06,31.7411,15
163.372,109.981,15
163.556,57.918,15
167.614,37.5683,15
169.005,34.2224,15
165.493,43.9562,15
170.437,32.7349,15
164.708,49.829,15
163.693,54.0134,15
165.093,45.0411,15
174.395,32.9735,16
163.946,56.3003,16
169.237,35.376,16
165.425,45.2618,16
168.179,44.0219,16
173.838,33.3756,16
174.853,35.1984,17
164.534,57.86,17
174.415,41.3968,17
168.678,45.6211,17
165.498,52.3069,17
165.859,45.8851,17
164.783,56.4794,17
165.706,47.148,17
175.053,42.6088,18
164.642,58.8901,18
165.748,55.6304,18
173.242,46.4205,18
167.903,49.4219,18
169.599,48.2778,18
173.092,48.594,19
164.879,65.041,19
170.273,51.4198,19
166.002,60.8444,19
166.699,56.5472,19
168.233,55.4155,19
169.193,53.0715,19
164.97,63.2202,19
164.948,64.0866,19
176.137,51.0688,20
166.822,72.1918,20
168.727,67.9774,20
169.557,58.5946,20
172.39,52.0361,20
171.949,58.1488,20
175.206,56.4127,21
168.67,90.8742,21
170.078,80.5291,21
170.883,62.9823,21
173.057,58.7849,21
171.856,59.1367,21
171.933,63.1433,22
171.593,63.3568,22
172.808,63.4926,23
172.468,80.8308,23
172.972,65.7966,24
第1世代
f1,f2
168.06,2.62679,0
147.728,22.8678,0
151.35,6.0241,0
150.275,19.7463,0
160.948,4.43266,0
167.438,2.79325,0
161.682,5.58925,1
149.005,25.3685,1
150.275,20.5162,1
151.6,7.02994,1
155.195,6.0512,1
158.15,6.79182,2
149.223,29.4023,2
153.033,12.1937,2
150.195,28.9246,2
152.52,17.6139,2
151.61,23.2886,2
151.77,22.3149,2
152.893,13.369,2
165.07,8.30628,3
150.543,72.6609,3
151.693,24.1194,3
151.104,70.0562,3
159.575,9.26393,3
155.778,13.6067,3
153.637,21.197,3
154.433,16.48,3
155.462,15.7077,3
162.57,9.57064,4
152.324,36.6072,4
156.665,13.8376,4
153.686,29.2763,4
154.805,18.9533,4
155.048,17.112,4
162.942,10.079,5
152.913,66.8888,5
152.917,37.6418,5
159.575,14.1538,5
154.453,30.5074,5
158.635,15.218,5
155.505,19.1571,5
157.085,18.017,5
157.135,15.7246,5
155.35,26.313,5
154.519,29.3089,5
155.361,22.8375,5
163.055,10.7037,6
153.036,53.626,6
153.28,39.4082,6
160.268,14.273,6
155.448,31.5959,6
155.891,21.577,6
155.069,38.3262,6
156.585,19.3444,6
158.42,16.5542,6
159.452,16.5245,6
165.395,13.364,7
153.178,64.6308,7
162.048,14.5274,7
154.299,42.2673,7
160.197,18.8813,7
155.512,37.6691,7
153.594,49.6456,7
153.594,56.9193,7
156.202,32.4262,7
156.575,21.7107,7
156.463,26.3436,7
158.5,21.1973,7
158.602,19.2648,7
175.805,14.5375,8
153.439,84.8871,8
154.111,80.4242,8
154.462,42.8688,8
167.98,14.6991,8
156.554,41.0848,8
156.607,26.5475,8
162.81,15.3493,8
164.191,15.3473,8
160.862,23.1958,8
160.948,20.2515,8
157.867,24.8169,8
167.351,15.1943,8
154.77,42.6191,8
157.135,24.9592,8
168.509,15.5932,9
154.663,79.4619,9
154.703,56.4016,9
164.805,15.955,9
156.266,45.4273,9
156.634,29.7044,9
156.345,43.5893,9
160.89,24.7158,9
158.439,25.9787,9
163.41,19.1765,9
159.155,25.1275,9
156.724,27.5627,9
162.48,21.4088,9
164.725,19.0543,9
161.58,22.1302,9
161.857,21.8583,9
161.58,21.9931,9
167.351,16.272,10
154.703,69.564,10
159.718,25.2631,10
156.601,47.1169,10
157.027,33.2078,10
162.539,23.5179,10
156.288,54.7103,10
164.852,18.2977,10
157.65,28.0592,10
155.29,61.5057,10
155.326,57.7388,10
163.4,23.0031,10
157.417,30.6313,10
164.405,21.2349,10
164.428,19.6069,10
172.098,16.3793,11
155.378,64.8704,11
156.677,50.3201,11
157.353,36.3044,11
167.851,17.2549,11
157.879,29.5657,11
156.296,57.2241,11
167.81,20.6797,11
160.99,29.4642,11
165.103,21.2125,11
155.736,60.4242,11
157.388,33.8953,11
162.616,23.9519,11
164.031,23.2327,11
164.65,22.4175,11
161.912,28.0945,11
161.269,28.1753,11
162.379,26.5977,11
162.441,26.1558,11
174.56,21.2462,12
155.53,72.2265,12
166.303,21.8886,12
156.689,50.3686,12
156.556,65.9409,12
157.467,41.2144,12
156.677,57.6369,12
158.011,36.8702,12
165.106,23.4422,12
163.286,25.0074,12
159.828,30.3892,12
161.359,28.6632,12
158.587,32.5938,12
158.807,32.0873,12
162.776,27.534,12
162.652,28.5408,12
165.562,24.2528,13
156.408,74.3884,13
161.152,31.1748,13
156.532,73.3173,13
157.478,56.2129,13
157.856,42.3579,13
159.433,32.2633,13
163.109,27.6211,13
158.743,38.9066,13
157.607,55.235,13
164.856,26.1651,13
163.82,27.0322,13
168.812,25.7453,14
157.161,86.6311,14
157.733,57.3772,14
159.02,41.0039,14
158.294,54.0884,14
163.15,29.0437,14
165.888,26.395,14
165.308,27.4784,14
162.462,31.6239,14
160.358,38.0098,14
161.208,31.7861,14
160.673,32.5949,14
160.487,35.9477,14
158.2,56.5069,14
165.723,26.5788,14
157.908,56.7244,14
167.928,26.7591,15
157.323,89.4958,15
158.143,84.403,15
158.176,61.9725,15
158.6,56.5619,15
159.559,44.7059,15
163.39,29.8312,15
161.327,32.2311,15
165.101,29.717,15
160.845,44.4399,15
166.546,29.2328,15
160.902,40.0288,15
161.037,35.1338,15
165.521,29.6845,15
166.312,29.4196,15
161.162,32.6909,15
173.938,26.8019,16
158.266,93.5641,16
158.326,69.2846,16
168.194,28.8427,16
159.943,48.6624,16
第2世代
f1,f2
168.06,2.62679,0
147.383,21.0199,0
151.35,6.0241,0
150.275,19.7463,0
158.938,4.21687,0
167.438,2.79325,0
158.42,5.94166,0
168.688,3.38139,1
147.728,22.8678,1
151.6,6.0241,1
160.948,4.43266,1
150.275,20.5162,1
149.897,21.4247,1
161.682,4.73684,2
148.588,37.5648,2
151.275,20.958,2
149.005,25.3685,2
155.195,6.0512,2
151.6,7.02994,2
153.713,6.60099,2
161.682,5.58925,3
149.217,25.6562,3
156.648,6.0512,3
151.6,14.7187,3
151.788,10.286,3
161.947,6.35916,4
149.223,29.4023,4
158.15,6.79182,4
156.025,10.9247,4
150.195,28.9246,4
151.61,23.2886,4
152.52,17.6139,4
161.06,6.47575,4
154.738,11.1989,4
152.893,13.369,4
152.143,20.1883,4
153.033,12.1937,4
151.77,22.3149,4
165.07,8.30628,5
149.398,57.2398,5
149.618,35.6866,5
159.575,9.26393,5
151.643,24.037,5
153.637,21.197,5
156.335,11.9588,5
158.5,11.4458,5
152.564,23.9356,5
155.462,15.7077,5
153.888,17.044,5
155.703,12.9284,5
154.433,16.48,5
158.708,9.69277,5
162.57,9.57064,6
