第0世代
f1,f2
164.4,0.51997,0
146.092,77.1837,0
146.625,26.334,0
155.665,7.2288,0
162.74,5.71687,0
151.373,26.02,0
152.212,12.2908,0
164.495,6.63747,1
149.647,29.0822,1
158.288,9.3019,1
153.796,19.4688,1
156.212,13.5254,1
152.275,21.4906,1
157.905,12.6448,1
152.735,21.3751,1
164.268,10.0043,2
150.261,97.0614,2
152.03,51.4627,2
152.573,23.4935,2
156.42,19.4957,2
163.415,11.3836,2
158.852,14.5078,2
160.288,12.5562,2
156.762,15.8754,2
160.26,13.7668,2
166.055,12.0484,3
153.28,56.003,3
153.489,45.5536,3
160.617,12.6958,3
154.69,27.1379,3
159.283,20.5238,3
156.26,24.1078,3
168.315,13.7774,4
153.712,66.737,4
155.301,42.0365,4
161.83,18.1365,4
160.048,23.009,4
158.473,30.5389,4
155.86,35.1572,4
160.781,19.2178,4
157.052,33.0813,4
157.353,30.9535,4
171.012,15.1114,5
155.159,73.9151,5
163.137,18.3771,5
155.35,48.9778,5
157.273,47.0902,5
157.701,33.2714,5
159.305,31.5411,5
162.643,22.8886,5
161.186,26.0009,5
160.555,31.25,5
161.013,28.2012,5
163.119,21.7097,5
166.31,19.0345,6
155.581,51.416,6
158.211,41.6052,6
158.291,33.6038,6
161.91,27.7982,6
164.158,26.2176,6
166.023,19.4227,6
162.488,26.5642,6
167.64,19.1109,7
156.171,82.5883,7
156.647,54.7001,7
162.438,31.3639,7
158.517,50.2037,7
159.183,34.7424,7
158.68,36.0572,7
166.135,25.5047,7
164.47,30.7259,7
166.848,20.0781,7
164.773,27.5324,7
167.857,23.1845,8
156.868,63.2786,8
159.764,35.1048,8
158.064,54.743,8
165.367,28.0585,8
162.522,33.8427,8
164.478,31.7738,8
157.139,58.987,8
169.555,27.9675,9
156.894,65.4297,9
159.287,59.4178,9
166.313,28.375,9
161.534,41.496,9
164.835,33.7618,9
161.384,54.632,9
160.692,56.741,9
162.9,36.0808,9
161.542,36.9461,9
162.66,36.5657,9
173.842,28.1703,10
159.409,74.2939,10
166.854,28.458,10
162.287,48.0923,10
160.343,63.4879,10
161.602,53.469,10
160.726,57.1935,10
159.43,68.0422,10
164.289,42.2369,10
165.701,34.9309,10
164.543,37.1684,10
165.526,35.7925,10
164.391,42.2108,10
170.973,29.0541,11
160.767,60.1467,11
167.405,29.5859,11
165.842,37.5679,11
162.721,49.1359,11
161.752,53.8192,11
164.47,43.9922,11
165.398,42.0424,11
169.028,31.8422,12
161.19,71.0891,12
162.502,64.8436,12
162.971,49.8449,12
165.565,42.9885,12
167.993,35.9385,12
164.516,46.1654,12
168.763,34.8971,12
170.348,32.302,13
162.06,89.446,13
163.095,66.528,13
164.377,51.0635,13
166.191,45.0407,13
163.5,55.0236,13
168.822,39.1537,13
169.679,33.3994,13
168.209,41.5736,13
163.263,62.9026,13
167.199,43.7788,13
166.822,43.8159,13
171.349,33.513,14
163.92,61.8298,14
164.533,51.1842,14
166.732,50.3003,14
170.23,39.9641,14
163.956,59.1069,14
168.82,43.375,14
167.536,45.6005,14
170.568,34.852,14
168.204,44.5249,14
168.274,44.2402,14
178.451,34.7778,15
163.923,73.6579,15
171.35,36.1714,15
164.211,69.3226,15
166.869,50.6466,15
164.672,54.0834,15
170.22,45.9506,15
170.448,42.9369,15
165.709,52.3909,15
171.269,38.5127,15
164.961,52.8566,15
171.271,38.2563,15
172.016,40.3177,16
163.925,80.7089,16
165.511,55.6937,16
164.326,72.2999,16
168.738,52.8937,16
170.364,50.3105,16
171.102,44.5318,16
169.191,52.4893,16
171.89,40.5937,16
171.982,41.8256,17
164.095,80.862,17
165.997,57.5952,17
165.673,80.5187,17
170.531,53.699,17
169.029,53.9967,17
173.333,42.655,18
166.087,66.6185,18
169.23,54.3245,18
166.689,58.4933,18
172.057,52.153,18
172.822,51.5834,18
176.222,44.5962,19
166.364,69.8655,19
175.437,53.0288,19
170.055,55.8299,19
169.08,58.8483,19
167.351,63.3773,19
167.328,64.864,19
176.633,52.6927,20
166.92,85.8828,20
170.722,65.5034,20
168.743,70.4154,20
174.972,56.7164,20
172.288,61.2775,20
167.289,75.0525,20
173.046,56.9582,20
167.684,72.4245,20
173.592,58.973,21
168.998,75.9362,21
171.313,65.8857,21
175.888,65.7945,22
169.031,80.299,22
173.228,68.7317,22
173.803,67.7339,22
第1世代
f1,f2
164.4,0.51997,0
145.842,79.0562,0
146.625,26.334,0
146.092,77.1837,0
155.665,7.2288,0
162.74,5.71687,0
152.212,12.2908,0
150.118,13.6655,0
148.833,21.6461,0
148.902,21.0239,0
165.848,4.81928,1
146.715,77.8062,1
149.647,29.0822,1
158.288,9.3019,1
164.495,6.63747,1
152.296,14.8244,1
156.212,13.5254,1
151.373,26.02,1
152.113,19.472,1
156.505,11.4727,1
164.867,9.42265,2
150.198,29.2735,2
152.275,21.4906,2
157.905,11.8086,2
161.117,10.9921,2
154.75,17.8753,2
152.49,18.0249,2
164.268,10.0043,2
156.783,15.7641,2
156.762,15.8754,2
171.012,9.5883,3
150.261,97.0614,3
151.247,65.9707,3
163.415,11.3836,3
157.905,12.383,3
152.025,39.4336,3
153.335,18.612,3
152.078,32.0961,3
152.573,23.4935,3
152.735,21.3751,3
166.055,12.0484,4
152.03,51.4627,4
153.002,37.8448,4
157.905,12.6448,4
153.796,19.4688,4
160.288,12.5562,4
153.012,23.7578,4
160.617,12.6958,5
153.068,28.957,5
154.24,21.1147,5
156.42,19.4957,5
158.603,19.2904,5
158.852,14.5078,5
160.26,13.7668,5
168.315,13.7774,6
153.093,28.9627,6
154.658,25.7765,6
163.415,14.8908,6
156.043,21.953,6
159.283,20.5238,6
160.781,19.2178,6
162.948,16.5761,6
161.83,18.1365,6
157.025,20.7172,6
