第0世代
146.8,47.9031
147.038,21.7791
147.323,19.4386
第54世代
f1,f2
147.663,12.0482
146.8,47.9031
147.038,21.7791
147.323,19.4386
第55世代
f1,f2
145.955,12.0482
第56世代
f1,f2
145.955,12.0482
第57世代
f1,f2
145.955,12.0482
第58世代
f1,f2
145.955,12.0482
第59世代
f1,f2
145.955,12.0482
第60世代
f1,f2
145.955,12.0482
第61世代
f1,f2
145.955,12.0482
第62世代
f1,f2
145.955,12.0482
第63世代
f1,f2
145.955,12.0482
第64世代
f1,f2
145.955,12.0482
第65世代
f1,f2
145.955,12.0482
第66世代
f1,f2
145.955,12.0482
第67世代
f1,f2
145.955,12.0482
第68世代
f1,f2
145.955,12.0482
第69世代
f1,f2
145.955,12.0482
第70世代
f1,f2
145.955,12.0482
第71世代
f1,f2
145.955,12.0482
第72世代
f1,f2
145.955,12.0482
第73世代
f1,f2
145.955,12.0482
第74世代
f1,f2
145.955,12.0482
第75世代
f1,f2
145.955,12.0482
第76世代
f1,f2
145.955,12.0482
第77世代
f1,f2
145.955,12.0482
第78世代
f1,f2
145.955,12.0482
第79世代
f1,f2
145.955,12.0482
第80世代
f1,f2
145.955,12.0482
第81世代
f1,f2
145.955,12.0482
第82世代
f1,f2
145.955,12.0482
第83世代
f1,f2
145.955,12.0482
第84世代
f1,f2
145.955,12.0482
第85世代
f1,f2
145.955,12.0482
第86世代
f1,f2
145.955,12.0482
第87世代
f1,f2
145.955,12.0482
第88世代
f1,f2
145.955,12.0482
第89世代
f1,f2
145.955,12.0482
第90世代
f1,f2
145.955,12.0482
第91世代
f1,f2
145.955,12.0482
第92世代
f1,f2
145.955,12.0482
第93世代
f1,f2
145.955,12.0482
第94世代
f1,f2
145.955,12.0482
第95世代
f1,f2
145.955,12.0482
第96世代
f1,f2
145.955,12.0482
第97世代
f1,f2
145.955,12.0482
第98世代
f1,f2
145.955,12.0482
第99世代
f1,f2
145.955,12.0482
第100世代
f1,f2
145.955,12.0482
第101世代
f1,f2
145.955,12.0482
第102世代
f1,f2
145.955,12.0482
第103世代
f1,f2
145.955,12.0482
第104世代
f1,f2
145.955,12.0482
第105世代
f1,f2
145.955,12.0482
第106世代
f1,f2
145.955,12.0482
第107世代
f1,f2
145.955,12.0482
第108世代
f1,f2
145.955,12.0482
第109世代
f1,f2
145.955,12.0482
第110世代
f1,f2
145.955,12.0482
145.92,28.6241
第111世代
f1,f2
145.955,12.0482
145.92,28.6241
第112世代
f1,f2
145.955,12.0482
145.92,28.6241
第113世代
f1,f2
145.955,12.0482
145.92,28.6241
第114世代
f1,f2
145.955,12.0482
145.92,28.6241
第115世代
f1,f2
145.955,12.0482
145.92,28.6241
第116世代
f1,f2
145.955,12.0482
145.92,28.6241
第117世代
f1,f2
145.955,12.0482
145.92,28.6241
第118世代
f1,f2
145.955,12.0482
145.92,28.6241
第119世代
f1,f2
145.955,12.0482
145.92,28.6241
第120世代
f1,f2
145.955,12.0482
145.92,28.6241
第121世代
f1,f2
145.955,12.0482
145.545,64.2627
145.932,28.5996
145.92,28.6241
第122世代
f1,f2
145.955,12.0482
145.545,64.2627
145.932,28.5996
145.92,28.6241
第123世代
f1,f2
145.955,12.0482
145.545,64.2627
145.932,28.5996
145.92,28.6241
第124世代
f1,f2
145.955,12.0482
145.545,64.2627
145.932,28.5996
145.92,28.6241
第125世代
f1,f2
145.955,12.0482
145.545,64.2627
145.932,28.5996
145.92,28.6241
第126世代
f1,f2
145.955,12.0482
145.545,64.2627
145.932,28.5996
145.92,28.6241
第127世代
f1,f2
145.955,12.0482
145.545,64.2627
145.932,28.5996
145.92,28.6241
第128世代
f1,f2
145.955,12.0482
145.545,64.2627
145.932,28.5996
145.92,28.6241
第129世代
f1,f2
145.955,12.0482
145.545,64.2627
145.932,28.5996
145.92,28.6241
第130世代
f1,f2
145.955,12.0482
145.545,64.2627
145.932,28.5996
145.92,28.6241
第131世代
f1,f2
145.955,12.0482
145.545,64.2627
145.932,28.5996
145.92,28.6241
第132世代
f1,f2
145.955,12.0482
145.545,64.2627
145.932,28.5996
145.92,28.6241
第133世代
f1,f2
145.955,12.0482
145.545,64.2627
145.932,28.5996
145.92,28.6241
第134世代
f1,f2
145.955,12.0482
145.545,64.2627
145.932,28.5996
145.92,28.6241
第135世代
f1,f2
145.955,12.0482
145.545,64.2627
145.932,28.5996
145.92,28.6241
第136世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第137世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第138世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第139世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第140世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第141世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第142世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第143世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第144世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第145世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第146世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第147世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第148世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第149世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第150世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第151世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第152世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第153世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第154世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第155世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第156世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第157世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第158世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第159世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第160世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第161世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第162世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第163世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第164世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第165世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第166世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第167世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第168世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第169世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第170世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第171世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第172世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第173世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第174世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第175世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第176世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第177世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第178世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第179世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第180世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第181世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第182世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第183世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第184世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第185世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第186世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第187世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第188世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第189世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第190世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第191世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第192世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第193世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第194世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第195世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第196世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第197世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第198世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第199世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第200世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第201世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第202世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第203世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第204世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第205世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第206世代
f1,f2
145.955,12.0482
145.92,28.6241
145.932,28.5996
第207世代
f1,f2
145.955,12.0482
145.92,28.6241
