第0世代
f1,f2
155.675,4.21687,0
148.958,27.528,0
149.775,13.8982,0
151.207,7.40792,0
153.577,6.30925,0
157.155,7.91352,1
150.349,73.4932,1
151.63,57.9417,1
152.985,28.2971,1
154.405,12.4093,1
157.128,10.5956,1
153.277,17.4043,1
157.145,8.43373,1
160.788,12.3919,2
151.586,90.7215,2
157.665,14.0682,2
152.12,60.7587,2
154.335,18.5134,2
153.014,43.7549,2
153.821,33.3127,2
167.478,12.4119,3
152.429,68.3829,3
154.583,28.7066,3
154.045,59.4915,3
163.05,12.4203,3
161.129,12.9181,3
158.89,15.8819,3
152.953,61.3369,3
158,19.7046,3
156.065,20.2043,3
154.69,21.5051,3
155.305,21.3635,3
161.99,12.991,4
153.914,70.1292,4
159.085,16.7207,4
155.533,24.9561,4
154.596,39.8482,4
154.601,37.2657,4
170.598,14.0556,5
154.369,75.5097,5
166.725,15.4852,5
155.243,55.9769,5
157.053,26.262,5
161.283,17.0159,5
155.768,45.5476,5
156.881,36.3308,5
160.325,20.336,5
160.368,18.4514,5
177.967,16.4366,6
155.538,81.9631,6
170.096,17.9279,6
156.45,54.5881,6
157.442,35.742,6
155.538,65.3108,6
157.873,27.4143,6
163.155,18.2965,6
160.98,22.8617,6
161.856,22.1825,6
162.575,19.1328,6
171.135,18.031,7
155.893,69.8207,7
157.777,39.4147,7
159.398,28.0301,7
165.055,19.4105,7
161.41,26.2372,7
163.06,26.022,7
164.272,21.5354,7
164.446,20.7007,7
165.817,19.6646,8
157.688,79.7317,8
158.443,49.5907,8
161.012,28.7825,8
157.777,72.688,8
163.642,27.7625,8
159.451,32.6666,8
159.22,40.2257,8
164.678,22.8655,8
164.73,22.5126,8
165.318,22.7338,9
158.647,56.1467,9
163.138,31.7253,9
160.048,40.2564,9
160.51,36.2949,9
170.97,23.4578,10
158.722,57.2224,10
160.394,53.5873,10
160.838,42.9059,10
167.635,23.8405,10
166.308,26.0286,10
165.864,31.1293,10
159.18,56.1953,10
164.704,32.6413,10
163.378,37.7974,10
161.562,38.1606,10
161.065,38.3912,10
164.692,35.5269,10
163.956,37.2887,10
167.858,27.6279,11
158.94,78.5844,11
162.094,40.1407,11
159.357,60.9927,11
164.693,39.9118,11
166.609,36.5925,11
161.172,54.4708,11
160.762,54.9004,11
166.72,28.8737,11
171.973,28.45,12
159.245,93.1305,12
159.442,64.0473,12
167.067,29.9243,12
160.961,55.3488,12
165.441,41.9894,12
170.14,29.5375,12
162.685,52.5778,12
164.755,44.965,12
163.141,45.0399,12
170.694,29.4602,12
162.796,46.9342,12
175.182,29.2094,13
159.986,65.4786,13
163.262,47.2616,13
167.116,35.4277,13
167.565,31.7294,13
161.566,58.6515,13
163.092,53.8323,13
168.638,32.0296,14
160.61,66.8935,14
167.487,35.8666,14
161.668,59.5389,14
164.554,47.732,14
163.668,52.4497,14
167.688,32.3504,14
163.812,49.9082,14
164.183,47.8418,14
176.592,32.2784,15
161.071,94.7746,15
161.959,66.5495,15
173.147,32.7308,15
164.476,52.1548,15
167.075,50.4182,15
169.613,33.1879,15
163.479,60.5097,15
169.237,35.7156,15
168.217,41.9459,15
162.581,63.1434,15
167.977,46.5487,15
162.886,60.5982,15
167.995,44.8083,15
171.885,34.8851,16
162.013,66.7509,16
168.727,45.425,16
164.008,65.1506,16
165.219,53.1546,16
170.14,36.2272,16
164.617,53.5478,16
171.676,35.469,16
173.302,39.1316,17
163.484,87.2227,17
164.435,75.8323,17
164.786,60.0332,17
168.786,51.0385,17
170.883,40.4577,17
165.548,54.0997,17
170.427,47.1733,17
169.121,47.2853,17
165.077,54.5749,17
171.898,40.6113,18
165.08,79.207,18
168.988,51.5124,18
165.995,59.6807,18
166.505,54.4715,18
171.392,48.051,18
171.443,41.6414,18
172.725,40.7612,19
166.578,56.0162,19
171.364,52.6398,19
172.638,47.905,19
167.155,55.0926,19
176.47,44.6086,20
166.724,94.375,20
167.194,63.8057,20
174.454,48.3881,20
168.189,58.7769,20
172.176,54.3849,20
170.768,55.7973,20
177.091,45.2258,21
167.812,68.2281,21
171.145,56.4641,21
175.467,55.6335,21
175.514,52.4601,21
169.563,61.0397,21
169.199,64.8589,21
168.242,66.7396,21
171.762,61.4922,22
168.952,75.8341,22
169.133,71.7156,22
173.026,72.9401,23
171.14,108.342,23
176.97,74.7054,24
176.75,76.6757,24
第1世代
f1,f2
155.675,4.21687,0
148.958,27.528,0
149.775,13.8982,0
151.207,7.40792,0
153.577,6.30925,0
154.91,4.81928,0
159.995,6.62651,1
150.125,78.1015,1
151.505,19.1801,1
150.753,65.503,1
153.277,17.4043,1
157.128,10.5956,1
157.155,7.91352,1
154.5,12.0482,1
150.349,73.4932,1
154.405,12.4093,1
157.145,8.43373,1
157.768,8.43373,2
151.184,72.2726,2
152.41,20.7535,2
151.63,57.9417,2
156.275,14.909,2
154.335,18.5134,2
154.658,16.0115,2
157.665,14.0682,2
159.283,10.1442,3
151.586,90.7215,3
152.943,24.4263,3
152.12,60.7587,3
152.478,49.6426,3
154.69,21.5051,3
156.065,20.2043,3
158.522,14.4806,3
157.645,20.0943,3
155.305,21.3635,3
158,19.7046,3
162.017,11.1696,4
152.342,76.2605,4
153.713,24.473,4
158.89,15.8819,4
152.953,61.3369,4
152.985,27.8768,4
152.429,68.3829,4
160.788,12.3919,4
159.868,14.4005,4
167.013,11.7654,5
152.985,28.2971,5
155.533,24.9561,5
159.085,16.7207,5
161.129,12.9181,5
163.05,12.4203,5
166.278,11.9066,5
167.478,12.4119,6
153.014,43.7549,6
157.053,26.262,6
161.99,12.991,6
153.821,33.3127,6
159.268,20.0828,6
154.583,28.7066,6
153.356,42.9025,6
159.707,17.6027,6
161.283,17.0159,6
161.033,17.2711,6
177.967,13.6098,7
153.131,46.6285,7
170.598,14.0556,7
162.538,14.8488,7
153.933,36.4478,7
160.072,25.147,7
155.723,29.4408,7
157.873,27.4143,7
155.565,34.5631,7
160.368,17.7931,7
160.325,20.336,7
166.725,15.4852,8
153.247,90.8754,8
153.365,55.722,8
163.155,18.2965,8
158.881,27.7901,8
160.368,18.4514,8
154.596,39.8482,8
157.442,35.742,8
156.881,36.3308,8
154.601,37.2657,8
177.967,16.4366,9
153.703,73.4469,9
167.858,16.8513,9
154.045,59.4915,9
161.773,18.676,9
155.242,54.1811,9
155.768,45.5476,9
159.398,28.0301,9
157.983,36.5958,9
153.914,70.1292,9
157.425,41.4547,9
160.665,26.1326,9
160.98,22.8617,9
157.777,39.4147,9
161.155,20.1286,9
170.096,17.9279,10
154.369,75.5097,10
155.203,63.6926,10
166.725,18.802,10
158.124,41.6206,10
156.819,50.8979,10
159.428,30.8125,10
159.22,40.2257,10
164.235,18.8527,10
155.243,55.9769,10
162.575,19.1328,10
160.943,28.7437,10
161.856,22.1825,10
156.45,54.5881,10
161.41,26.2372,10
171.135,18.031,11
154.537,84.9803,11
165.055,19.4105,11
158.443,49.5907,11
155.538,65.3108,11
155.538,81.9631,11
159.451,32.6666,11
156.775,55.0341,11
162.9,20.6004,11
161.012,28.7825,11
162.853,28.4178,11
155.576,57.2194,11
159.683,32.2999,11
172.258,19.5828,12
155.893,69.8207,12
158.647,56.1467,12
156.161,57.8967,12
159.688,45.3071,12
165.858,19.5963,12
163.06,25.1351,12
160.048,40.2564,12
162.768,34.0411,12
163.284,22.4741,12
160.51,36.2949,12
164.446,20.7007,12
165.817,19.6646,12
164.272,21.5354,12
162.228,34.7601,12
161.15,35.3969,12
160.944,35.829,12
162.548,34.5685,12
166.361,20.282,13
156.527,72.7244,13
163.06,26.022,13
156.538,58.9702,13
161.562,38.1606,13
158.722,57.2224,13
160.838,42.9059,13
160.104,49.0517,13
164.678,22.8655,13
165.768,20.8027,13
161.065,38.3912,13
159.18,56.1953,13
164.73,22.5126,13
159.8,54.636,13
159.969,52.7729,13
174.681,21.5613,14
156.562,61.1161,14
160.394,53.5873,14
166.722,22.6447,14
161.51,47.3824,14
156.862,59.0467,14
163.642,27.7625,14
163.138,31.7253,14
162.958,38.6483,14
162.094,40.1407,14
165.3,23.1147,14
165.318,22.7338,14
162.137,39.6849,14
177.665,23.1495,15
156.653,82.9682,15
170.97,23.4578,15
162.238,45.6067,15
167.635,23.8405,15
164.704,32.6413,15
159.357,60.9927,15
161.172,54.4708,15
157.688,79.7317,15
165.817,24.4128,15
158.618,63.6159,15
157.807,68.6687,15
157.777,72.688,15
163.141,45.0399,15
160.718,55.5218,15
163.378,37.7974,15
164.692,35.5269,15
163.956,37.2887,15
166.102,24.3383,15
160.762,54.9004,15
172.258,23.5694,16
157.361,91.2456,16
166.308,26.0286,16
171.317,25.8008,16
164.565,37.3178,16
165.864,31.1293,16
163.628,42.4105,16
第2世代
f1,f2
155.675,4.21687,0
148.958,27.528,0
151.207,7.40792,0
149.775,13.8982,0
149.335,20.3927,0
153.577,6.30925,0
154.91,4.81928,0
159.995,6.62651,1
149.612,43.9799,1
150.562,27.4426,1
152.87,11.2266,1
150.578,17.6699,1
157.128,10.5956,1
157.155,7.91352,1
151.467,13.2836,1
152.08,11.4018,1
157.145,8.43373,1
157.145,10.3261,1
157.768,8.43373,2
150.077,62.9953,2
151.327,23.9064,2
151.74,17.3554,2
155.533,11.5877,2
154.405,12.4093,2
151.505,19.1801,2
154.5,12.0482,2
160.538,8.50898,3
150.125,78.1015,3
151.63,57.9417,3
151.693,24.7971,3
150.253,64.1074,3
158.43,8.74619,3
157.665,14.0682,3
154.658,16.0115,3
153.277,17.4043,3
156.01,14.4058,3
156,14.5647,3
152.41,20.7535,3
152.75,18.415,3
152.265,24.6075,3
160.788,9.74497,4
150.349,73.4932,4
156.275,14.909,4
152.812,44.9145,4
152.12,59.5713,4
150.753,65.503,4
152.943,24.4263,4
154.335,18.5134,4
158.522,14.4806,4
152.478,49.6426,4
159.283,10.1442,4
153.405,20.7512,4
152.985,22.5378,4
164.065,10.0902,5
151.184,72.2726,5
152.985,26.6326,5
152.54,60.4657,5
152.12,60.7587,5
158.827,15.8002,5
156.905,16.2287,5
152.988,23.299,5
154.69,21.5051,5
159.868,12.4206,5
162.017,11.1696,5
162.99,10.9839,5
156.128,19.3658,5
160.89,11.8221,5
155.553,19.9252,5
155.305,21.3635,5
160.788,12.3919,5
167.013,11.7654,6
151.258,96.7042,6
152.953,61.3369,6
152.985,27.8768,6
163.05,12.4203,6
152.342,76.2605,6
151.586,90.7215,6
166.278,11.9066,6
157.15,18.04,6
160.33,12.5961,6
158.89,15.8819,6
152.429,68.3829,6
153.713,24.473,6
156.065,20.2043,6
159.868,14.4005,6
155.263,21.5533,6
155.033,24.2802,6
155.038,23.3711,6
172.258,12.3451,7
152.985,28.2971,7
161.129,12.9181,7
167.478,12.4119,7
154.698,24.9407,7
155.732,22.7906,7
160.325,16.6621,7
159.085,16.7207,7
158,19.7046,7
156.065,20.2318,7
157.645,20.0943,7
170.39,12.576,8
153.014,43.7549,8
161.99,12.991,8
153.773,32.1308,8
153.356,42.9025,8
154.583,28.7066,8
155.533,24.9561,8
156.464,22.1224,8
158.193,21.3623,8
159.268,20.0828,8
161.283,17.0159,8
159.707,17.6027,8
161.033,17.2711,8
177.967,13.6098,9
153.096,68.8802,9
