第0世代
f1,f2
151.34,3.29042,0
148.22,75.6736,0
150.143,7.22892,0
154.283,7.22892,1
150.22,69.5903,1
151.138,21.7415,1
152.052,14.8582,1
168.188,8.73112,2
151.49,39.3916,2
159.447,8.8765,2
153.77,17.4463,2
152.623,27.1199,2
152.391,31.5964,2
155.457,9.556,2
154.962,12.0747,2
157.882,10.241,3
151.652,62.5652,3
153.172,30.3238,3
155.973,13.4076,3
154.52,22.3157,3
154.557,18.6822,3
166.885,10.4708,4
152.284,87.399,4
153.405,38.4812,4
162.47,11.792,4
158.92,13.5769,4
155.411,18.9269,4
160.335,12.2921,4
154.846,30.6906,4
155.231,28.2331,4
155.268,20.2236,4
173.263,11.262,5
154.022,86.0661,5
154.573,52.5898,5
155.963,22.0808,5
164.31,12.9738,5
162.623,16.4321,5
159.458,17.9971,5
157.632,20.6458,5
159.048,19.5151,5
163.353,15.753,5
163.653,13.1168,5
169.263,13.7986,6
154.417,86.8054,6
155.976,52.4072,6
156.637,25.7097,6
155.151,62.8345,6
164.018,14.0229,6
160.17,18.4425,6
162.975,17.4615,6
158.34,21.8483,6
158.447,21.6413,6
163.975,15.288,6
164.48,17.6908,7
155.708,70.1748,7
157.182,45.5083,7
159.286,23.893,7
162.178,20.1361,7
157.312,28.3256,7
156.241,63.9627,7
162.517,20.3224,8
157.231,70.1229,8
157.766,30.3168,8
157.574,65.6494,8
160.272,29.1367,8
158.528,29.552,8
161.91,25.2269,8
161.057,28.4118,8
161.237,26.8527,8
174.55,20.3301,9
157.981,77.1063,9
164.81,20.9151,9
158.207,64.1826,9
158.258,49.8015,9
164.191,29.6399,9
158.349,41.5787,9
159.521,31.8195,9
158.468,33.3896,9
161.777,30.946,9
161.948,30.1224,9
173.842,21.5461,10
158.477,43.7202,10
169.012,25.1599,10
162.184,32.275,10
171.8,22.2689,10
158.783,37.4408,10
165.07,26.741,10
164.426,29.648,10
159.444,33.6972,10
159.289,35.187,10
164.963,28.5097,10
172.347,24.0761,11
158.483,52.4874,11
170.098,26.0249,11
163.269,33.3175,11
166.598,28.8178,11
160.01,41.2523,11
160.676,36.0403,11
158.721,48.031,11
158.838,43.6791,11
167.22,27.1133,11
162.33,34.7754,11
162.493,33.8131,11
166.931,27.5476,11
167.523,28.2782,12
158.938,90.1966,12
164.55,34.6214,12
159.303,84.33,12
159.428,55.7248,12
162.393,35.4357,12
159.734,51.0349,12
161.175,37.7359,12
160.973,47.4655,12
161.116,44.3161,12
171.776,30.9515,13
159.634,65.785,13
167.735,34.3026,13
162.478,37.2363,13
159.678,56.2448,13
161.245,38.5106,13
161.192,49.3266,13
166.178,35.9227,13
160.36,51.4247,13
167.055,35.4843,13
169.099,34.4851,14
159.935,63.9194,14
161.64,60.3732,14
162.577,47.5433,14
163.573,37.9191,14
162.755,40.4939,14
163.242,38.9391,14
171.689,36.2544,15
161.628,65.6385,15
163.434,52.4284,15
165.252,40.3993,15
165.372,39.2996,15
170.237,38.0232,15
170.431,37.2593,15
172.101,36.6716,16
162.715,79.0361,16
163.602,56.083,16
165.585,40.2129,16
171.307,38.8758,16
165.408,42.9345,16
164.964,53.8612,16
164.918,54.1164,16
171.342,38.7707,16
176.662,41.1673,17
163.093,86.9106,17
167.599,42.3699,17
163.624,57.6506,17
165.113,56.2834,17
166.057,45.6271,17
166.898,44.6088,17
164.76,57.4186,17
166.216,45.0445,17
169.317,42.6152,18
163.682,87.936,18
166.121,66.4028,18
164.173,70.7769,18
166.235,49.6863,18
163.981,83.7475,18
167.211,44.9922,18
167.98,43.1495,18
177.638,42.9397,19
166.172,75.5607,19
170.526,43.111,19
166.255,64.7263,19
166.539,54.2222,19
167.138,51.641,19
168.676,46.2794,19
168.619,48.2668,19
171.888,44.1199,20
167.686,58.4706,20
168.766,52.1398,20
169.48,47.3624,20
170.688,46.6022,20
171.276,45.7765,20
171.315,45.9711,21
167.757,66.2201,21
168.029,58.506,21
169.928,52.783,21
169.596,53.1011,21
174.803,47.3616,22
168.097,63.8349,22
171.433,56.8336,22
169.237,60.8079,22
173.851,59.0201,23
168.492,64.4283,23
171.81,61.9168,23
170.024,64.2426,23
173.014,59.5152,23
180.882,63.9813,24
169.005,78.67,24
171.41,65.6758,24
171.431,65.781,25
170.493,81.2503,25
174.83,66.3981,26
171.456,78.3839,26
173.817,70.6744,26
第1世代
f1,f2
150.967,3.29042,0
146.975,81.7354,0
147.887,75.3836,0
150.143,7.22892,0
151.34,3.29042,1
148.22,75.6736,1
150.22,69.5903,1
150.765,8.61834,1
151.09,4.80359,1
151.84,3.29042,2
151.138,21.7415,2
151.34,5.96303,2
168.81,4.36067,3
151.221,22.2549,3
154.283,7.22892,3
152.052,14.8582,3
152.02,16.3552,3
151.554,21.4156,3
155.778,7.22892,4
151.402,60.1435,4
152.052,15.7556,4
154.962,12.0747,4
151.768,31.6074,4
151.461,45.387,4
151.49,39.3916,4
155.457,9.556,4
168.81,7.43124,5
151.652,62.5652,5
152.053,18.9494,5
162.47,7.65119,5
155.6,9.56416,5
159.447,8.8765,5
153.77,17.4463,5
168.188,8.73112,6
151.706,88.2633,6
157.882,10.241,6
152.391,31.5964,6
152.16,86.5797,6
155.723,13.4076,6
152.623,27.1199,6
154.557,18.6822,6
154.27,24.3171,6
154.52,22.3157,6
158.712,10.241,7
152.284,87.399,7
152.391,33.0395,7
155.973,13.4076,7
154.395,25.376,7
153.172,30.3238,7
155.268,20.2236,7
155.878,17.4207,7
155.585,18.7196,7
155.411,18.9269,7
166.885,10.4708,8
152.582,49.0977,8
153.405,38.4812,8
158.585,15.7945,8
154.846,30.6906,8
155.411,19.3859,8
152.789,48.8629,8
160.335,12.2921,8
155.231,28.2331,8
163.975,10.8543,8
155.268,20.904,8
162.47,11.792,8
158.92,13.5769,8
163.092,11.1408,8
167.135,10.4708,9
153.778,41.0375,9
155.231,31.4466,9
155.268,22.4353,9
164.31,12.9738,9
157.632,20.6458,9
161.305,17.9507,9
155.963,22.0808,9
162.623,16.4321,9
159.048,19.5151,9
159.458,17.9971,9
163.353,15.753,9
163.653,13.1168,9
173.263,11.262,10
153.846,71.3846,10
156.204,31.9225,10
169.263,13.7986,10
154.573,51.4312,10
154.49,51.6541,10
160.17,18.4425,10
164.018,14.0229,10
156.378,22.0808,10
158.34,21.2368,10
162.975,17.4615,10
163.353,16.2038,10
163.975,15.288,10
173.263,11.7128,11
154.022,86.0661,11
164.31,14.3299,11
156.378,22.9333,11
154.573,52.5898,11
155.643,52.1429,11
162.178,20.1361,11
158.447,21.6413,11
163.178,20.0969,11
158.34,21.8483,11
164.64,14.9315,12
154.417,86.8054,12
162.517,20.3224,12
158.447,22.889,12
156.378,24.4591,12
155.976,52.4072,12
155.151,61.2688,12
164.48,17.6908,12
165.975,16.8734,13
155.151,62.8345,13
156.637,25.7097,13
164.81,20.9151,13
159.286,23.893,13
158.447,25.4088,13
166.598,18.518,14
155.247,84.3586,14
155.408,63.2403,14
157.182,45.5083,14
157.312,28.3256,14
164.81,20.919,14
161.204,24.9088,14
160.407,26.0667,14
171.8,18.7344,15
155.708,70.1748,15
156.241,63.9627,15
157.766,30.3168,15
165.658,24.6301,15
162.107,25.0925,15
160.272,29.1367,15
158.528,29.552,15
161.057,28.4118,15
161.237,26.8527,15
161.621,26.3269,15
161.91,25.2269,15
174.55,20.3301,16
156.537,73.1687,16
169.012,25.1599,16
161.91,25.8011,16
158.258,49.8015,16
171.8,21.3457,16
158.207,64.1826,16
158.349,41.5787,16
161.722,29.6674,16
158.468,33.3896,16
157.231,70.1229,16
159.521,31.8195,16
157.574,65.6494,16
159.444,32.8652,16
174.55,21.2241,17
157.981,77.1063,17
158.249,69.3003,17
170.098,26.0249,17
158.427,47.4592,17
165.07,26.741,17
171.8,22.2689,17
159.444,33.6972,17
161.777,30.946,17
158.783,37.4408,17
158.477,43.7202,17
164.191,29.6399,17
173.842,21.5461,17
161.948,30.1224,17
159.289,35.187,17
164.698,28.491,17
174.55,22.5187,18
158.483,52.4874,18
172.347,24.0761,18
167.22,27.1133,18
162.184,32.275,18
160.676,36.0403,18
158.721,48.031,18
158.838,43.6791,18
158.977,39.1032,18
164.34,30.0121,18
164.963,28.5097,18
159.613,37.5621,18
166.931,27.5476,18
164.426,29.648,18
174.55,23.4127,19
158.622,66.2309,19
159.67,40.3767,19
172.348,24.0773,19
159.428,55.7248,19
168.145,27.62,19
165.313,29.5784,19
161.175,37.7359,19
159.312,56.8332,19
162.702,33.0254,19
162.33,34.7754,19
166.598,28.8178,19
167.523,28.2782,19
162.493,33.8131,19
172.606,28.7568,20
158.772,85.729,20
171.776,30.9515,20
163.016,33.2665,20
159.634,65.785,20
第2世代
f1,f2
168.81,2.40964,0
146.353,81.1129,0
150.133,44.4683,0
150.967,3.29042,0
150.142,7.22892,0
148.842,73.1941,0
147.887,75.3836,0
151.34,3.29042,1
146.642,81.4374,1
150.143,7.22892,1
149.176,75.3443,1
148.22,75.6736,1
151.09,4.80359,1
151.84,3.29042,2
146.975,81.7354,2
150.22,69.5903,2
150.348,18.5343,2
148.22,78.7022,2
150.765,7.76593,2
151.34,5.96303,2
152.585,3.29042,3
150.765,8.61834,3
168.81,4.36067,4
151.138,21.7415,4
153.473,7.19328,4
163.203,5.41292,4
152.052,14.8582,4
152.02,15.5028,4
151.554,21.4156,4
151.388,21.6784,4
154.212,7.22892,5
151.221,22.2549,5
152.052,15.7556,5
152.02,16.3552,5
154.283,7.22892,6
151.312,33.4258,6
152.053,16.6708,6
151.471,23.926,6
152.02,16.9316,6
155.778,7.22892,7
151.378,42.3287,7
153.77,17.4463,7
152.053,18.9494,7
154.712,10.8434,7
151.768,31.6074,7
152.01,24.7942,7
151.646,39.0994,7
155.457,9.556,7
154.978,9.56416,7
151.49,39.3916,7
168.81,7.43124,8
151.379,46.7492,8
162.47,7.65119,8
156.028,8.68654,8
152.141,33.0395,8
154.557,18.6822,8
152.113,38.8996,8
151.49,40.0293,8
154.712,13.9985,8
152.25,27.1274,8
151.461,45.387,8
154.27,24.3171,8
153.312,26.1888,8
154.962,12.0747,8
154.52,22.3157,8
155.6,9.56416,8
152.623,27.1199,8
168.188,8.73112,9
151.402,60.1435,9
159.447,8.8765,9
152.391,31.5964,9
156.4,9.63498,9
154.395,24.8683,9
153.172,30.3238,9
155.723,13.4076,9
154.641,19.6137,9
155.585,17.3637,9
155.155,17.6977,9
157.882,10.241,10
151.402,61.8644,10
152.391,33.0395,10
154.395,25.376,10
156.473,12.5551,10
157.735,10.8434,10
155.018,24.0159,10
155.973,13.4076,10
155.878,17.4207,10
155.268,19.5391,10
155.585,18.7196,10
155.411,18.9269,10
158.712,10.241,11
151.652,62.5652,11
156.708,14.4746,11
152.582,49.0977,11
153.033,38.436,11
153.422,33.217,11
156.378,17.2417,11
152.624,46.4288,11
154.608,32.6508,11
155.231,28.2331,11
155.411,19.3859,11
155.268,20.2236,11
154.762,29.8162,11
163.092,10.2603,12
151.706,88.2633,12
152.706,46.639,12
152.16,86.5797,12
153.405,38.4812,12
160.085,12.2921,12
157.717,17.4669,12
162.47,11.1408,12
154.846,30.6906,12
155.494,20.3217,12
158.92,13.5769,12
155.231,28.8445,12
158.585,15.767,12
155.268,20.904,12
173.263,10.327,13
151.706,88.2731,13
152.789,48.8629,13
152.743,84.9475,13
166.885,10.4708,13
153.778,41.0375,13
155.231,29.5814,13
158.585,15.7945,13
160.335,12.2921,13
155.268,21.1176,13
157.632,20.6458,13
163.975,10.8543,13
162.47,11.792,13
163.092,11.1408,13
152.328,86.7413,13
152.284,87.399,13
167.135,10.4708,14
152.368,89.6268,14
153.827,49.7591,14
152.897,59.5652,14
155.231,31.4466,14
152.867,82.9406,14
162.47,13.3277,14
160.17,17.6256,14
164.898,12.9683,14
158.34,21.2368,14
156.378,21.3742,14
155.268,22.4353,14
163.653,13.1168,14
159.048,19.5151,14
159.458,17.9971,14
155.963,22.0808,14
164.31,12.9738,14
168.188,10.9172,15
153.565,83.458,15
153.648,59.9192,15
155.231,33.5691,15
163.975,13.1327,15
154.907,50.6264,15
160.17,18.4425,15
155.268,22.5556,15
156.378,22.0808,15
161.305,17.9507,15
154.49,51.6541,15
158.447,21.6413,15
162.623,16.4321,15
158.34,21.8483,15
163.353,14.4866,15
163.093,14.7669,15
154.573,51.3197,15
154.781,50.6748,15
173.263,11.262,16
153.846,71.3846,16
155.268,24.2003,16
169.263,13.7986,16
154.573,51.4312,16
154.568,60.7449,16
164.018,14.0229,16
156.378,22.5011,16
158.962,21.749,16
162.975,17.4615,16
160.17,18.4425,16
154.573,52.1721,16
160.17,20.4102,16
163.353,15.753,16
163.975,15.288,16
173.263,11.7128,17
154.022,86.0661,17
154.573,52.5898,17
166.885,14.0416,17
155.268,26.3771,17
154.106,84.8051,17
158.197,22.889,17
161.203,21.0111,17
164.31,14.3299,17
156.378,22.9333,17
162.178,20.1361,17
