第0世代
f1,f2
151.633,6.04217,0
148.088,33.3008,0
149.076,14.0691,0
149.647,10.8434,0
160.952,9.03603,1
148.225,84.4343,1
152.082,62.0254,1
152.595,22.5648,1
151.923,69.1672,1
155.825,16.2078,1
157.303,9.42765,1
160.452,9.05792,1
154.088,16.4157,1
156.953,10.6871,1
152.693,16.6054,1
160.283,10.0928,2
153.427,34.9059,2
154.971,21.2713,2
156.752,17.0007,2
158.702,14.0421,2
153.682,26.9856,2
165.975,11.9768,3
154.015,27.4103,3
159.4,15.0451,3
165.208,14.9172,3
159.063,16.7789,3
158.018,22.4761,3
155.225,25.6684,3
156.393,23.2166,3
165.475,13.6506,3
156.716,22.8363,3
171.8,13.0971,4
154.55,84.8478,4
165.635,14.3433,4
154.843,59.4401,4
155.485,40.9275,4
159.763,15.3806,4
156.565,24.041,4
159.243,22.963,4
157.585,23.9963,4
159.755,19.4282,4
166.725,15.1796,5
155.654,64.0671,5
156.598,39.2654,5
159.783,18.3437,5
162.002,17.7192,5
164.513,15.83,5
157.542,25.0713,5
156.74,29.0782,5
156.878,25.1801,5
170.508,17.9006,6
156.545,74.8165,6
156.725,52.0177,6
162.033,18.2791,6
156.762,30.0828,6
159.985,22.2149,6
158.369,26.2743,6
160.438,18.7928,6
157.179,26.5497,6
157.012,29.4229,6
164.64,18.8013,7
156.826,77.1308,7
157.093,31.7219,7
161.123,24.1249,7
157.213,27.1483,7
162.087,19.2011,7
167.385,21.9877,8
157.362,58.397,8
157.65,27.6751,8
162.805,23.926,8
159.361,27.6241,8
171.725,23.3254,9
157.578,69.6991,9
158.305,33.1164,9
170.351,24.0786,9
164.601,24.2735,9
161.039,28.9221,9
164.473,24.66,9
159.348,32.3325,9
160.32,31.3885,9
171.017,23.7332,9
160.807,29.2771,9
172.023,24.1432,10
158.326,68.312,10
158.922,53.8481,10
166.077,26.947,10
159.116,34.4382,10
162.119,29.535,10
171.012,24.8442,10
160.183,32.7558,10
170.47,27.9607,11
158.812,75.7554,11
159.144,58.6137,11
168.32,32.5204,11
161.238,32.825,11
159.397,39.4096,11
160.119,34.7616,11
169.106,28.9753,11
177.509,29.1084,12
159.525,73.7354,12
159.78,59.3966,12
160.995,40.9504,12
162.261,33.293,12
169.655,32.8578,12
171.092,30.7981,12
176.929,30.4889,12
159.549,69.6867,12
162.185,39.512,12
174.888,30.9409,13
159.821,84.7359,13
159.822,68.8527,13
161.342,56.1126,13
170.552,33.1629,13
165.181,33.7141,13
171.897,31.9929,13
161.456,42.6266,13
162.558,35.6446,13
164.165,33.7804,13
161.803,40.9992,13
172.789,33.2106,14
161.173,81.3564,14
165.227,33.9081,14
161.425,60.6018,14
161.854,45.8239,14
161.843,56.9016,14
162.77,43.9046,14
162.949,36.8795,14
164.072,35.8522,14
164.764,34.3,14
163.325,36.3245,14
175.924,33.6735,15
161.549,76.9041,15
168.98,34.0821,15
163.438,38.0823,15
162.119,47.001,15
161.717,62.62,15
165.778,34.6117,15
161.927,54.7046,15
161.913,57.1705,15
169.052,34.2157,16
162.134,49.239,16
166.418,37.3851,16
164.041,45.5002,16
164.439,38.915,16
162.473,48.7149,16
169.433,34.3341,17
162.376,57.8223,17
163.879,54.6196,17
164.259,45.8091,17
168.851,38.6092,17
167.4,39.1518,17
164.552,43.9948,17
165.926,42.2741,17
166.016,39.8212,17
170.642,36.5444,18
162.768,59.0608,18
167.341,40.7855,18
166.992,44.7564,18
164.33,49.4425,18
164.593,49.0963,18
171.83,37.7503,19
162.922,80.2879,19
164.335,55.0977,19
167.31,44.8099,19
162.971,67.7556,19
163.677,63.755,19
170.565,41.827,19
168.688,43.3835,19
168.029,43.9616,19
169.602,42.233,19
170.39,41.8378,19
169.681,42.0051,19
174.103,38.321,20
164.576,70.7744,20
169.182,49.2883,20
165.869,62.0602,20
168.151,53.3932,20
167.817,59.639,20
166.698,61.6504,20
171.535,50.1815,21
164.77,78.5019,21
167.91,72.1735,21
168.387,60.4888,21
170.81,53.9064,21
168.577,54.7036,21
173.372,54.0607,22
167.19,82.0906,22
169.038,56.3544,22
171.973,57.8124,23
169.289,70.3486,23
169.786,59.071,23
170.25,59.7171,24
171.398,60.3163,25
170.663,60.903,25
173.72,62.6466,26
170.921,80.3213,26
171.404,62.8518,26
174.562,63.2444,27
173.992,100.811,27
177.036,65.2585,28
第1世代
f1,f2
153.49,3.48356,0
148.088,33.3008,0
149.076,14.0691,0
151.633,6.04217,0
149.647,10.8434,0
165.208,8.77981,1
148.225,84.4343,1
149.127,30.88,1
155.325,14.4215,1
150.78,15.8979,1
150.776,17.4972,1
160.952,9.03603,1
157.303,9.42765,1
160.452,9.05792,1
156.953,10.6871,1
171.178,9.54711,2
149.181,85.811,2
160.283,10.0928,2
151.332,61.2754,2
151.453,26.5159,2
150.168,69.0736,2
158.702,14.0421,2
152.367,24.0857,2
155.825,15.266,2
151.04,67.7537,2
154.088,16.4157,2
152.52,17.6757,2
152.693,16.6054,2
155.202,16.3722,2
155.825,16.2078,2
165.975,11.9768,3
151.682,36.3338,3
159.4,15.0451,3
152.485,28.1038,3
165.208,14.9172,3
155.825,16.2078,3
152.595,22.5648,3
155.542,18.1993,3
153.745,21.3051,3
165.475,13.6506,3
155.136,21.2393,3
154.971,21.2713,3
171.8,13.0971,4
151.792,87.5146,4
152.082,62.0254,4
165.635,14.3433,4
152.595,24.0699,4
159.763,15.3806,4
155.925,16.3409,4
151.923,69.1672,4
153.438,22.5723,4
166.725,15.1796,5
152.006,70.0662,5
153.427,34.9059,5
164.513,15.83,5
161.027,15.8979,5
153.682,26.9856,5
155.225,25.6684,5
156.255,22.7158,5
156.752,17.0007,5
159.063,16.7789,5
159.08,16.6632,5
156.716,19.3717,5
164.098,16.0258,6
152.749,76.8711,6
153.75,42.5329,6
161.213,17.2557,6
157.027,17.7648,6
156.393,23.2166,6
154.015,27.4103,6
153.848,28.3379,6
156.716,22.8363,6
171.725,16.8363,7
153.988,64.2543,7
162.002,17.7192,7
154.818,53.1847,7
155.16,35.7267,7
156.529,30.5494,7
157.311,20.5446,7
159.277,17.9548,7
156.565,24.041,7
158.788,18.4552,7
156.74,23.0611,7
170.508,17.9006,8
154.55,84.8478,8
154.843,59.4401,8
162.075,18.1398,8
155.485,40.9275,8
155.952,35.8671,8
159.783,18.3437,8
156.74,30.3407,8
162.033,18.2791,8
158.788,18.6319,8
156.878,25.1801,8
158.018,22.4761,8
158.693,21.3835,8
156.74,29.0782,8
157.585,23.9963,8
157.542,25.0713,8
160.438,18.7928,9
155.654,64.0671,9
156,38.8588,9
156.541,37.8798,9
156.762,30.0828,9
157.749,26.3949,9
158.688,25.8273,9
159.046,22.5249,9
157.179,26.5497,9
158.369,26.2743,9
159.755,19.4282,9
159.361,22.0836,9
157.012,29.4229,9
159.618,20.2881,9
164.64,18.8013,10
156.488,55.9035,10
156.598,39.2654,10
162.087,19.2011,10
157.213,27.1483,10
159.243,22.963,10
161.245,22.1808,10
156.777,34.0682,10
159.985,22.2149,10
157.093,31.1047,10
170.642,18.9483,11
156.492,74.5392,11
163.096,21.1631,11
156.725,52.0177,11
156.554,64.0208,11
156.927,36.7683,11
157.65,27.6751,11
157.093,31.7219,11
159.361,27.6241,11
161.123,24.1249,11
162.805,23.926,11
160.135,25.5525,11
160.403,25.2751,11
172.509,20.2385,12
156.545,74.8165,12
163.39,23.4142,12
167.385,21.9877,12
157.682,49.3891,12
157.362,58.397,12
157.835,27.7273,12
157.832,30.0308,12
171.635,22.4792,13
156.826,77.1308,13
157.404,65.724,13
157.846,32.6233,13
167.114,23.7151,13
158.81,28.1717,13
163.558,26.3521,13
163.89,23.9134,13
171.725,23.3254,14
157.457,79.9005,14
158.305,33.1164,14
157.943,60.8612,14
170.351,24.0786,14
164.601,24.2735,14
157.578,69.6991,14
162.725,28.2322,14
164.473,24.66,14
160.995,28.5171,14
159.348,32.3325,14
160.033,28.8366,14
157.938,63.0549,14
171.017,23.7332,14
172.023,24.1432,15
158.326,68.312,15
170.508,24.5068,15
158.922,53.8481,15
158.992,36.5976,15
164.596,24.7529,15
158.77,58.3431,15
161.039,28.9221,15
164.557,25.1068,15
159.116,34.4382,15
160.168,31.7276,15
160.807,29.2771,15
160.32,31.3885,15
174.803,24.2746,16
158.812,75.7554,16
158.964,57.7591,16
166.768,24.7719,16
159.116,34.4966,16
166.077,26.947,16
162.119,29.535,16
160.183,32.7558,16
161.237,30.604,16
171.012,24.8442,17
159.144,58.6137,17
162.835,31.9758,17
159.298,40.5392,17
166.348,27.2317,17
167.075,25.558,17
160.119,34.7616,17
159.397,39.4096,17
161.238,32.825,17
161.106,33.6089,17
168.475,25.8061,18
159.215,66.4168,18
第2世代
f1,f2
153.49,3.48356,0
148.013,88.7239,0
148.088,33.3008,0
151.633,6.04217,0
149.647,10.8434,0
148.168,14.7018,0
149.076,14.0691,0
171.178,6.78422,1
148.225,84.4343,1
149.127,30.88,1
148.261,83.01,1
165.208,6.81927,1
155.303,6.97095,1
150.244,28.0909,1
153.435,12.2171,1
150.775,16.2411,1
150.78,15.8979,1
153.49,8.87079,1
149.749,30.8686,1
165.635,7.42468,2
149.173,73.7087,2
150.168,69.0736,2
150.776,17.4972,2
165.135,7.45413,2
160.952,9.03603,2
157.303,9.42765,2
160.452,9.05792,2
155.75,13.0682,2
154.58,13.3629,2
153.693,15.753,2
152.693,16.6054,2
156.953,10.6871,2
151.28,16.827,2
150.967,16.9558,2
165.208,8.77981,3
149.181,85.811,3
151.03,27.527,3
149.926,82.9419,3
160.283,10.0928,3
158.702,14.0421,3
155.325,14.4215,3
151.315,18.1053,3
152.52,17.6757,3
158.958,12.3373,3
153.623,16.9528,3
154.088,16.4157,3
155.202,16.3722,3
171.178,9.54711,4
150.923,97.7405,4
160.32,10.2459,4
151.332,61.2754,4
151.453,26.5159,4
151.04,67.7537,4
158.26,14.6977,4
153.26,17.7217,4
155.825,16.2078,4
159.538,13.0457,4
155.825,15.266,4
152.367,24.0857,4
152.692,18.3102,4
152.595,22.5648,4
161.575,10.5422,5
151.682,36.3338,5
151.76,26.6413,5
153.438,20.8675,5
158.458,14.8458,5
155.542,18.1993,5
160.655,14.4079,5
152.595,24.0699,5
157.043,16.1282,5
160.952,10.7408,5
155.825,16.2078,5
165.291,11.1013,6
151.705,52.0151,6
152.485,28.1038,6
161.048,11.4026,6
159.4,15.0451,6
155.925,16.3409,6
152.878,25.2859,6
155.136,21.2393,6
153.438,22.5723,6
153.745,21.3051,6
154.971,21.2713,6
171.8,11.6054,7
151.792,87.5146,7
152.082,62.0254,7
153.293,26.3571,7
151.923,69.1672,7
165.975,11.9768,7
159.763,15.3806,7
164.235,12.8694,7
155.092,23.7014,7
158.415,16.5094,7
156.118,19.1574,7
153.507,24.9764,7
165.208,12.3383,7
156.752,17.0007,7
156.172,17.235,7
156.68,17.0403,7
156.165,18.1835,7
152.006,70.0662,8
165.475,12.6856,8
153.427,34.9059,8
160.953,15.8979,8
164.513,15.83,8
153.682,26.9856,8
155.225,25.6684,8
156.143,20.5731,8
155.825,24.599,8
159.08,16.6632,8
157.65,17.6594,8
153.848,26.0387,8
158.788,16.9539,8
156.716,19.3717,8
165.208,14.9172,8
157.027,17.7648,8
165.475,13.6506,8
159.063,16.7789,8
171.8,13.0971,9
152.326,85.769,9
152.749,76.8711,9
153.488,42.3031,9
165.635,14.3433,9
161.027,15.8979,9
153.593,35.7249,9
