第0世代
,f1,f2,front
159.648,40.6596,84,19
161.672,29.3213,82,19
159.849,34.5531,93,19
160.699,30.5395,81,19
160.153,31.9869,100,19
160.099,34.4484,91,19
176.511,24.763,84,20
157.649,64.3899,94,20
163.028,25.2291,96,20
175.596,25.1129,82,20
158.061,55.6222,96,20
161.225,35.5774,87,20
159.25,52.8181,98,20
159.854,41.3432,83,20
159.718,45.7211,93,20
161.509,31.3025,97,20
162.529,27.468,95,20
177.013,24.8015,80,21
157.758,70.9164,100,21
163.22,25.417,92,21
159.597,62.7372,92,21
159.969,46.035,88,21
162.108,32.1917,97,21
160.699,41.8813,100,21
161.368,36.5493,84,21
157.785,66.2482,86,21
158.442,65.2707,94,21
161.614,33.7487,91,21
160.066,45.4194,83,21
158.417,66.1443,86,21
171.483,26.4182,88,22
158.115,70.2505,83,22
165.776,27.0273,85,22
160.192,52.8735,81,22
161.688,34.237,97,22
160.105,65.5876,84,22
163.482,28.7966,98,22
158.981,67.1788,95,22
160.355,46.1299,91,22
164.15,28.6112,90,22
161.467,40.7151,83,22
160.819,44.7511,82,22
161.296,42.2285,94,22
170.773,28.8795,81,23
158.512,74.6472,94,23
160.389,48.1222,88,23
165.73,28.908,97,23
163.949,29.3995,92,23
163.075,35.1332,86,23
161.915,38.2802,83,23
161.355,45.0901,87,23
161.745,43.8745,96,23
162.235,35.2171,91,23
165.653,29.5162,96,24
160.463,67.5028,92,24
163.958,30.9954,87,24
160.588,51.9995,93,24
161.557,46.0865,90,24
163.197,36.0091,97,24
160.505,65.532,96,24
162.041,38.4702,100,24
160.823,48.3145,95,24
162.57,37.2834,100,24
170.277,29.5615,85,25
160.484,78.2698,94,25
160.757,54.4563,90,25
166.197,31.0405,85,25
164.16,33.1687,96,25
168.431,30.9001,84,25
163.209,37.1702,87,25
161.792,47.3897,98,25
160.94,50.2701,81,25
162.097,42.2121,95,25
169.563,30.6346,80,25
163.686,36.5731,96,25
162.085,43.313,100,25
174.264,29.8179,90,26
160.871,83.7036,92,26
161.048,53.4707,97,26
168.107,31.5033,89,26
171.562,30.6533,90,26
170.524,30.8782,81,26
161.978,50.771,84,26
163.223,39.1769,98,26
166.305,31.7151,96,26
162.727,43.9535,84,26
162.27,45.4786,83,26
164.235,35.2442,93,26
165.82,34.8503,89,26
164.182,37.04,91,26
166.181,34.8354,99,26
171.06,31.7552,84,27
161.342,58.7706,86,27
167.095,31.7713,90,27
163.383,40.8308,82,27
166.342,32.6385,81,27
164.338,35.6995,83,27
164.843,35.4208,85,27
162.553,46.7967,84,27
163.109,45.4319,95,27
162.201,51.2989,83,27
162.062,53.4571,100,27
161.768,56.8066,92,27
161.433,58.3363,89,27
169.9,32.3511,84,28
161.387,68.5999,99,28
167.143,33.6862,89,28
165.196,35.4595,97,28
162.427,53.8398,100,28
162.242,61.3895,98,28
162.954,51.8326,96,28
163.247,46.2768,96,28
164.458,39.1492,89,28
166.598,34.9123,100,28
163.444,43.1531,83,28
164.318,41.8661,98,28
161.733,67.142,88,28
161.893,62.7251,84,28
171.227,33.0465,87,29
162.752,60.8326,88,29
163.34,55.263,82,29
163.51,44.5584,80,29
165.165,43.7478,81,29
165.519,37.3612,98,29
170.263,33.5554,89,29
168.269,34.8462,88,29
166.572,36.9649,82,29
167.478,34.9282,92,29
167.201,36.7292,100,29
169.281,34.2398,87,29
169.235,34.3964,90,29
172.303,33.5202,83,30
162.765,63.6628,91,30
169.147,35.6928,85,30
165.604,39.0604,87,30
163.433,58.471,85,30
163.978,54.2713,85,30
171.892,35.0933,88,30
164.805,45.3254,83,30
163.993,47.3054,100,30
164.163,45.3781,88,30
176.176,34.913,85,31
163.403,66.997,89,31
163.876,64.1377,87,31
170.488,36.2331,85,31
164.298,48.911,86,31
168.16,39.6606,98,31
164.657,46.5978,100,31
165.613,42.4019,100,31
169.598,37.9592,90,31
165.925,40.1267,84,31
173.352,36.7825,80,32
163.687,74.2184,92,32
164.322,51.2679,96,32
170.106,40.4071,87,32
172.098,39.3581,86,32
165.135,46.7597,98,32
165.719,46.0845,81,32
