第0世代
f1,f2
159.26,1.50402,0
149.115,8.70202,0
160.085,3.79042,1
149.383,79.5735,1
151.5,30.0017,1
159.943,9.93958,1
154.731,11.8007,1
152.807,23.4648,1
154.263,15.2265,1
166.372,4.25301,2
150.167,80.3677,2
152.931,48.8316,2
156.82,13.9425,2
164.452,8.60239,2
160.905,12.531,2
155.044,16.6814,2
153.294,37.2299,2
161.165,9.68373,2
154.307,26.3523,2
153.775,30.9322,2
166.193,10.6837,3
153.125,61.6444,3
154.186,40.4502,3
157.65,14.7783,3
155.405,24.342,3
161.943,12.5333,3
163.075,12.4798,3
155.628,19.4696,3
161.194,15.255,4
153.409,77.245,4
154.872,46.8443,4
155.714,20.7307,4
153.428,62.1402,4
157.861,18.3261,4
158.908,17.1606,4
160.65,16.9692,4
161.857,15.7366,5
153.882,76.9792,5
155.496,59.3022,5
155.83,23.7386,5
158.97,20.047,5
153.885,71.609,5
156.345,21.308,5
161.434,16.0346,5
166.023,15.8182,6
155.84,36.3208,6
156.603,27.9244,6
159.66,21.7629,6
163.412,19.1129,6
162.613,19.375,6
157.56,24.5144,6
158.678,22.4169,6
157.881,23.1289,6
166.511,15.9297,7
155.989,57.2578,7
156.099,41.7359,7
157.941,26.1667,7
157.005,29.8719,7
161.815,25.2669,7
163.142,20.314,7
165.853,19.4711,7
162,22.1941,7
166.344,16.9168,7
167.013,16.9812,8
156.333,68.4634,8
157.514,31.9584,8
157.319,51.1423,8
164.698,25.2565,8
156.488,51.4282,8
162.475,30.4034,8
165.313,21.225,8
160.454,31.0141,8
161.65,30.6267,8
160.947,30.8535,8
170.55,17.278,9
156.578,61.2216,9
158.262,44.0467,9
165.788,25.012,9
160.643,31.388,9
157.231,59.8656,9
160.266,32.9233,9
168.64,24.7317,9
169.598,24.0349,9
170.468,18.6088,9
167.383,26.2668,10
156.661,89.6673,10
158.312,54.4847,10
161.439,33.0217,10
157.404,84.1335,10
159.887,51.664,10
160.305,39.5142,10
161.243,37.0976,10
167.97,27.5611,11
158.782,55.8582,11
162.101,33.69,11
160.423,42.3955,11
159.411,55.7408,11
161.387,39.6378,11
161.885,33.8461,11
